rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
9323,1,1,360,6,360,0,0,0,42,136,163.8,0,27.8,93.23,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
132,80.088,5.683,58061.422,5.929,0.19,-1561.369,-0.099,709.289,0.256,0.157,1.356,0,0,150652,,,,,228,11.198,5.269,
133,81.234,6.829,56509.163,6.122,0.193,-1543.019,-0.124,712.803,0.262,0.138,1.356,0,0,152028,,,,,227,11.639,5.517,
134,81.049,6.644,54975.644,6.314,0.192,-1523.888,-0.165,715.256,0.267,0.102,1.356,0,0,150564,,,,,226,12.135,5.821,
135,80.342,5.937,53461.645,6.508,0.199,-1503.982,-0.174,716.897,0.27,0.095,1.356,0,0,151710,,,,,225,12.685,6.177,
136,80.834,6.429,51967.937,6.716,0.222,-1483.305,-0.128,719.224,0.274,0.146,1.355,0,0,149980,,,,,224,13.282,6.566,
137,81.587,7.182,50495.289,6.957,0.261,-1461.865,-0.039,723.892,0.283,0.244,1.355,0,0,151556,,,,,223,13.913,6.956,
138,81.464,7.059,49044.459,7.241,0.306,-1439.669,0.06,731.756,0.3,0.36,1.354,0,0,149352,,,,,222,14.562,7.321,
139,81.726,7.321,47616.2,7.57,0.351,-1416.724,0.146,742.737,0.324,0.47,1.353,0,0,150536,,,,,221,15.223,7.653,
140,82.079,7.674,46211.258,7.941,0.391,-1393.038,0.207,756.199,0.354,0.561,1.352,0,0,148736,,,,,220,15.897,7.956,
141,83.048,8.643,44830.367,8.35,0.426,-1368.621,0.243,771.364,0.389,0.633,1.351,0,0,149658,,,,,219,16.597,8.247,
142,83.04,8.635,43474.256,8.791,0.456,-1343.482,0.259,787.54,0.428,0.687,1.35,0,0,148094,,,,,218,17.34,8.549,
143,83.371,8.966,42143.64,9.26,0.481,-1317.632,0.256,804.129,0.468,0.724,1.348,0,0,149328,,,,,217,18.142,8.882,
144,84.232,9.827,40839.226,9.75,0.498,-1291.08,0.229,820.484,0.509,0.738,1.347,0,0,147224,,,,,216,19.016,9.266,
145,84.578,10.173,39561.71,10.253,0.507,-1263.838,0.178,835.855,0.549,0.727,1.346,0,0,148276,,,,,215,19.971,9.718,
146,85.339,10.934,38311.776,10.763,0.512,-1235.918,0.117,849.674,0.587,0.704,1.345,0,0,146688,,,,,214,21.012,10.249,
147,85.762,11.357,37090.096,11.279,0.522,-1207.333,0.073,862.012,0.621,0.695,1.344,0,0,147664,,,,,213,22.139,10.86,
148,86.092,11.687,35897.328,11.813,0.549,-1178.095,0.071,873.777,0.656,0.727,1.343,0,0,146646,,,,,212,23.344,11.531,
149,86.354,11.949,34734.119,12.384,0.597,-1148.218,0.114,886.359,0.694,0.808,1.342,0,0,147360,,,,,211,24.619,12.235,
150,87.538,13.133,33601.101,13.012,0.661,-1117.715,0.187,900.948,0.738,0.925,1.341,0,0,146714,,,,,210,25.954,12.942,
151,87.345,12.94,32498.892,13.708,0.731,-1086.602,0.262,918.007,0.791,1.053,1.339,0,0,147246,,,,,209,27.348,13.64,
152,89.037,14.632,31428.095,14.472,0.796,-1054.894,0.317,937.23,0.851,1.169,1.338,0,0,146278,,,,,208,28.803,14.331,
153,90.013,15.608,30389.297,15.296,0.851,-1022.606,0.344,957.857,0.918,1.262,1.336,0,0,146874,,,,,207,30.333,15.037,
154,89.582,15.177,29383.071,16.17,0.894,-989.754,0.343,979.013,0.989,1.332,1.335,0,0,145868,,,,,206,31.948,15.778,
155,91.827,17.422,28409.972,17.081,0.927,-956.354,0.321,999.945,1.062,1.383,1.333,0,0,147072,,,,,205,33.655,16.574,
