rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11085,1,1,360,4,360,0,0,0,42,136,163.8,0.29,35,110.85,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
146,87.753,11.693,38311.776,11.855,0.589,-1235.918,0.182,748.231,0.42,0.603,1.353,0,0,125012,,,,,214,27.852,15.997,
147,88.737,12.677,37090.096,12.463,0.625,-1207.333,0.19,761.496,0.461,0.651,1.352,0,0,124902,,,,,213,29.19,16.727,
148,88.844,12.784,35897.328,13.104,0.656,-1178.095,0.18,774.922,0.504,0.685,1.351,0,0,124974,,,,,212,30.592,17.488,
149,89.559,13.499,34734.119,13.773,0.681,-1148.218,0.155,788.099,0.548,0.702,1.349,0,0,124356,,,,,211,32.07,18.297,
150,90.859,14.799,33601.101,14.464,0.701,-1117.715,0.117,800.655,0.591,0.708,1.348,0,0,124602,,,,,210,33.637,19.173,
151,91.135,15.075,32498.892,15.175,0.722,-1086.602,0.083,812.444,0.632,0.716,1.348,0,0,124120,,,,,209,35.299,20.124,
152,91.904,15.844,31428.095,15.911,0.754,-1054.894,0.074,823.794,0.674,0.748,1.347,0,0,124228,,,,,208,37.056,21.145,
153,92.619,16.559,30389.297,16.689,0.807,-1022.606,0.105,835.52,0.719,0.824,1.346,0,0,124488,,,,,207,38.907,22.218,
154,93.142,17.082,29383.071,17.531,0.88,-989.754,0.172,848.597,0.77,0.942,1.345,0,0,123758,,,,,206,40.851,23.32,
155,94.426,18.366,28409.972,18.453,0.965,-956.354,0.253,863.655,0.83,1.083,1.343,0,0,124360,,,,,205,42.877,24.424,
156,94.664,18.604,27470.539,19.461,1.048,-922.425,0.322,880.696,0.899,1.222,1.342,0,0,124272,,,,,204,44.975,25.514,
157,97.162,21.102,26565.293,20.547,1.123,-887.983,0.369,899.235,0.977,1.346,1.341,0,0,124122,,,,,203,47.133,26.586,
158,97.493,21.433,25694.738,21.704,1.19,-853.046,0.399,918.737,1.061,1.461,1.339,0,0,124464,,,,,202,49.337,27.633,
159,98.761,22.701,24859.361,22.927,1.257,-817.632,0.427,938.956,1.152,1.579,1.338,0,0,124234,,,,,201,51.575,28.648,
160,99.868,23.808,24059.627,24.218,1.325,-781.761,0.459,959.905,1.248,1.707,1.336,0,0,124612,,,,,200,53.824,29.606,
161,101.467,25.407,23295.985,25.577,1.392,-745.451,0.488,981.592,1.352,1.84,1.335,0,0,124350,,,,,199,56.055,30.478,
162,102.966,26.906,22568.864,27,1.451,-708.722,0.51,1003.848,1.461,1.971,1.333,0,0,124686,,,,,198,58.234,31.234,
163,104.665,28.605,21878.674,28.476,1.5,-671.594,0.52,1026.379,1.576,2.096,1.332,0,0,124944,,,,,197,60.323,31.847,
164,105.68,29.62,21225.802,29.996,1.537,-634.087,0.52,1048.896,1.695,2.215,1.33,0,0,124876,,,,,196,62.269,32.273,
165,107.394,31.334,20610.619,31.547,1.561,-596.222,0.512,1071.138,1.816,2.327,1.329,0,0,125042,,,,,195,63.996,32.449,
